Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
269, , , 748830.690, 8930520.880, 210.463, 748830.690, 8930520.880, 199.263, 0.127, 11.200, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 10816, b932a954-3a7a-4b25-890c-ff61fcac832c, 0.0, 135.600, 0, DVT 15 m :1 ud, , 
270, , , 748832.290, 8930518.380, 210.372, 748832.290, 8930518.380, 199.072, 0.127, 11.300, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 10756, 2c719a05-0d7d-4c73-83b2-2408624c4166, 0.0, 137.900, 0, DVT 15 m :1 ud, , 
271, , , 748833.890, 8930515.880, 210.103, 748833.890, 8930515.880, 199.603, 0.127, 10.500, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 10674, a8909c89-f3e0-4a8b-a841-878af6ea89ef, 0.0, 123.300, 0, DVT 15 m :1 ud, , 
272, , , 748835.490, 8930513.370, 210.228, 748835.490, 8930513.370, 199.228, 0.127, 11.000, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 10594, cb280f81-0f33-4397-9958-12fa76f3b7b0, 0.0, 122.700, 0, DVT 15 m :1 ud, , 
273, , , 748837.100, 8930510.870, 210.096, 748837.100, 8930510.870, 198.896, 0.127, 11.200, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 10518, 5c5527f0-e2ac-420d-a706-fd48acbe05e9, 0.0, 138.200, 0, DVT 15 m :1 ud, , 
274, , , 748838.700, 8930508.370, 209.987, 748838.700, 8930508.370, 198.987, 0.127, 11.000, 0.600, 3.400, 0.000, 0.000, 0.0, 0.0, 0.000, 10450, 12adb804-0d33-4ae0-bf0d-a921bdc0138c, 0.0, 116.300, 0, DVT 15 m :1 ud, , A
275, , , 748837.470, 8930505.510, 210.241, 748837.470, 8930505.510, 199.241, 0.127, 11.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 10286, 7dfe5dc2-b098-49e9-9c04-8c762edc8c31, 0.0, 122.600, 0, DVT 15 m :1 ud, , A
276, , , 748835.870, 8930508.010, 210.249, 748835.870, 8930508.010, 199.449, 0.127, 10.800, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 10378, 5adb02d5-bdb0-44bb-90ef-396878649688, 0.0, 133.800, 0, DVT 15 m :1 ud, , 
277, , , 748834.270, 8930510.510, 210.129, 748834.270, 8930510.510, 199.129, 0.127, 11.000, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 10446, b7dd2d6b-7d99-4c9c-888d-683408d68afc, 0.0, 138.000, 0, DVT 15 m :1 ud, , 
278, , , 748832.660, 8930513.010, 210.311, 748832.660, 8930513.010, 200.211, 0.127, 10.100, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 10526, 425206d8-2aad-4df2-ad7e-5615b5e03d13, 0.0, 118.600, 0, DVT 15 m :1 ud, , 
279, , , 748831.060, 8930515.510, 210.304, 748831.060, 8930515.510, 199.504, 0.127, 10.800, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 10606, 38b3652f-3fa9-4ae7-8c87-74afacc730ee, 0.0, 137.900, 0, DVT 15 m :1 ud, , 
280, , , 748829.460, 8930518.010, 210.407, 748829.460, 8930518.010, 199.307, 0.127, 11.100, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 10686, a97340f3-69fa-486d-9b88-f591a50545cf, 0.0, 123.800, 0, DVT 15 m :1 ud, , 
281, , , 748827.850, 8930520.510, 210.505, 748827.850, 8930520.510, 199.705, 0.127, 10.800, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 10740, 127cddd1-2daa-4154-bc18-a2af820e7a9f, 0.0, 129.500, 0, DVT 15 m :1 ud, , 
282, , , 748826.250, 8930523.010, 210.565, 748826.250, 8930523.010, 199.065, 0.127, 11.500, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 10812, 4fbbc426-7c6c-4708-b167-d67ba19a7ccd, 0.0, 137.100, 0, DVT 15 m :1 ud, , 
283, , , 748824.650, 8930525.510, 210.594, 748824.650, 8930525.510, 199.394, 0.127, 11.200, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 10888, d7d4c447-f2a3-4ed7-9430-147e5a1ce897, 0.0, 153.800, 0, DVT 15 m :1 ud, , 
284, , , 748823.050, 8930528.010, 210.427, 748823.050, 8930528.010, 199.527, 0.127, 10.900, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 10964, 82dfc05d-caff-4ca2-a692-bf674064db6b, 0.0, 140.400, 0, DVT 15 m :1 ud, , 
285, , , 748821.440, 8930530.510, 210.465, 748821.440, 8930530.510, 199.565, 0.127, 10.900, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 11036, b2b609f2-c1e3-4a7f-a452-5a18630508d9, 0.0, 129.000, 0, DVT 15 m :1 ud, , 
286, , , 748819.840, 8930533.010, 210.579, 748819.840, 8930533.010, 199.579, 0.127, 11.000, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 11112, 858128de-7072-4859-b0b5-e43ff4c794cb, 0.0, 124.000, 0, DVT 15 m :1 ud, , 
287, , , 748818.240, 8930535.510, 210.667, 748818.240, 8930535.510, 199.367, 0.127, 11.300, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 11188, f09a29bb-3415-48e6-a550-2be207710b4b, 0.0, 149.100, 0, DVT 15 m :1 ud, , 
288, , , 748816.630, 8930538.010, 210.309, 748816.630, 8930538.010, 199.309, 0.127, 11.000, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 11264, eac73044-fec0-41db-bb8d-251213171f1a, 0.0, 133.200, 0, DVT 15 m :1 ud, , 
289, , , 748815.030, 8930540.510, 210.592, 748815.030, 8930540.510, 200.092, 0.127, 10.500, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11340, 9e921230-c56b-4fdf-924d-93a170882f40, 0.0, 139.800, 0, DVT 15 m :1 ud, , 
290, , , 748813.430, 8930543.010, 210.677, 748813.430, 8930543.010, 199.577, 0.127, 11.100, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 6.000, 11416, e14598b1-9d60-499d-a4f6-6a0f9fd00b57, 0.0, 126.100, 0, DVT 15 m :1 ud, , 
291, , , 748811.820, 8930545.510, 210.395, 748811.820, 8930545.510, 199.795, 0.127, 10.600, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11490, 87c947db-06e5-47d2-8bf4-dcef3ac88595, 0.0, 129.200, 0, DVT 15 m :1 ud, , 
292, , , 748810.220, 8930548.010, 210.320, 748810.220, 8930548.010, 199.520, 0.127, 10.800, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 11550, 91902322-163d-4395-b741-f7cdd82d6210, 0.0, 143.000, 0, DVT 15 m :1 ud, , 
293, , , 748808.620, 8930550.510, 210.107, 748808.620, 8930550.510, 199.407, 0.127, 10.700, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 6.000, 11622, 81a4c7bb-da21-40f1-8ae9-ed1589c57ef5, 0.0, 128.200, 0, DVT 15 m :1 ud, , 
294, , , 748807.020, 8930553.010, 210.079, 748807.020, 8930553.010, 199.879, 0.127, 10.200, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 6.000, 11692, 60b04a6a-4b3e-45f7-8701-ff03d540b68d, 0.0, 134.000, 0, DVT 15 m :1 ud, , B
295, , , 748805.410, 8930555.510, 209.875, 748805.410, 8930555.510, 199.075, 0.127, 10.800, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11762, d23686d5-613c-4169-951c-19e407c8a8eb, 0.0, 127.600, 0, DVT 15 m :1 ud, , B
296, , , 748803.570, 8930557.840, 209.741, 748803.570, 8930557.840, 198.341, 0.127, 11.400, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 11817, 91a0f5ac-54b0-488b-80ce-181788e06860, 0.0, 152.800, 0, DVT 15 m :1 ud, , B
297, , , 748801.380, 8930559.840, 210.164, 748801.380, 8930559.840, 199.664, 0.127, 10.500, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 6.000, 11899, ce1ddc0e-f936-4220-9565-d9450658c39e, 0.0, 131.700, 0, DVT 15 m :1 ud, , B
298, , , 748799.130, 8930561.780, 209.686, 748799.130, 8930561.780, 200.686, 0.127, 9.000, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 11952, 827542b9-8395-46df-bd55-8f3e602c31f2, 0.0, 114.300, 0, DVT 15 m :1 ud, , B
299, , , 748796.880, 8930563.720, 209.666, 748796.880, 8930563.720, 199.266, 0.127, 10.400, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 6.000, 12037, 91d67a9e-574b-4901-9730-be18ec97ac15, 0.0, 112.700, 0, DVT 15 m :1 ud, , B
300, , , 748794.630, 8930565.650, 209.915, 748794.630, 8930565.650, 199.615, 0.127, 10.300, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 6.000, 12109, 95d3a317-ac5f-4df8-b1b9-aa0a1084d0b3, 0.0, 129.600, 0, DVT 15 m :1 ud, , B
301, , , 748792.380, 8930567.590, 210.022, 748792.380, 8930567.590, 199.322, 0.127, 10.700, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 6.000, 12177, d603512b-19b7-4cda-a739-2297993a5bd1, 0.0, 128.700, 0, DVT 15 m :1 ud, , B
302, , , 748790.130, 8930569.530, 210.155, 748790.130, 8930569.530, 199.855, 0.127, 10.300, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 12232, c00e580b-349a-4f06-b631-93fa3dc213be, 0.0, 133.200, 0, DVT 15 m :1 ud, , B
303, , , 748787.880, 8930571.470, 210.055, 748787.880, 8930571.470, 199.155, 0.127, 10.900, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 6.000, 12317, 1b0a3294-90b2-42e8-b057-b58286ab8af2, 0.0, 141.900, 0, DVT 15 m :1 ud, , B
304, , , 748785.630, 8930573.410, 210.130, 748785.630, 8930573.410, 199.530, 0.127, 10.600, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 12389, 7c7fe58f-8683-45d4-9204-c4fc959dbaf2, 0.0, 111.100, 0, DVT 15 m :1 ud, , B
305, , , 748783.380, 8930575.350, 209.934, 748783.380, 8930575.350, 199.034, 0.127, 10.900, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 12442, 1436ec2f-1c1a-42fe-bf72-53d8b4ca35dc, 0.0, 126.300, 0, DVT 15 m :1 ud, , B
306, , , 748781.130, 8930577.280, 209.804, 748781.130, 8930577.280, 199.704, 0.127, 10.100, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 12508, 8c8e3c6a-2d16-4435-acf4-6e85794c9c66, 0.0, 114.600, 0, DVT 15 m :1 ud, , B
307, , , 748778.840, 8930579.170, 209.739, 748778.840, 8930579.170, 201.739, 0.127, 8.000, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 12559, 6135d820-05c3-4a07-a0cc-255908a690ca, 0.0, 96.800, 0, DVT 15 m :1 ud, , B
308, , , 748776.510, 8930581.020, 209.867, 748776.510, 8930581.020, 199.667, 0.127, 10.200, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 12623, 6cec160c-4f86-4514-9cb8-8723a019c7b0, 0.0, 127.200, 0, DVT 15 m :1 ud, , B
309, , , 748774.180, 8930582.860, 210.027, 748774.180, 8930582.860, 199.427, 0.127, 10.600, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 12686, 6e771210-69fc-4996-a6eb-60bbf497a39f, 0.0, 128.700, 0, DVT 15 m :1 ud, , B
310, , , 748771.860, 8930584.710, 210.186, 748771.860, 8930584.710, 199.586, 0.127, 10.600, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 12756, 247d486b-fa51-48ee-9248-cafa135c8197, 0.0, 143.100, 0, DVT 15 m :1 ud, , B
311, , , 748769.530, 8930586.560, 210.240, 748769.530, 8930586.560, 199.140, 0.127, 11.100, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 12826, 5ef62224-71ac-4fa3-955f-e7186867cb50, 0.0, 148.800, 0, DVT 15 m :1 ud, , B
312, , , 748767.190, 8930588.380, 210.217, 748767.190, 8930588.380, 200.217, 0.127, 10.000, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 12896, 0822d84b-33a5-46bc-958e-32b68af2d780, 0.0, 134.800, 0, DVT 15 m :1 ud, , B
313, , , 748764.380, 8930589.330, 210.127, 748764.380, 8930589.330, 199.627, 0.127, 10.500, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 12950, d8910aaf-ea6a-4916-a01e-cb9bee604230, 0.0, 136.500, 0, DVT 15 m :1 ud, , B
314, , , 748762.290, 8930590.130, 210.168, 748762.290, 8930590.130, 199.668, 0.127, 10.500, 0.600, 2.400, 0.000, 0.000, 0.0, 0.0, 0.000, 13001, 6d80ec9c-e95f-44c4-b5f1-4c4d88eed71e, 0.0, 129.300, 0, DVT 15 m :1 ud, , B
315, , , 748760.740, 8930587.840, 209.955, 748760.740, 8930587.840, 199.855, 0.127, 10.100, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 12937, 22cd8928-787a-454e-bfcd-f379802400c3, 0.0, 123.400, 0, DVT 15 m :1 ud, , B
316, , , 748763.560, 8930586.890, 210.094, 748763.560, 8930586.890, 200.094, 0.127, 10.000, 0.600, 2.200, 0.000, 0.000, 0.0, 0.0, 0.000, 12867, 0d322414-27f8-43ae-b1a5-ab317f8564f3, 0.0, 145.800, 0, DVT 15 m :1 ud, , B
